seed,mesh_num_faces,simulation_time[h],computation_time[s]
1,9399,96.0,45.5454
2,7935,96.0,58.7571
3,11070,96.0,113.1675
4,7787,96.0,89.8105
5,13632,96.0,90.7833
6,10236,96.0,129.1137
7,10036,96.0,79.4135
8,12350,96.0,70.3806
9,10879,96.0,77.999
10,10816,96.0,86.0998
11,10688,96.0,77.8999
12,11454,96.0,121.4894
13,10366,96.0,89.4448
14,9658,96.0,129.4756
15,8192,96.0,88.8086
16,10302,96.0,78.0616
17,11519,96.0,99.3338
18,10560,96.0,79.5865
19,10676,96.0,79.6844
20,9594,96.0,77.6477
21,8704,96.0,70.7484
22,8376,96.0,80.4042
23,11579,96.0,80.287
24,11388,96.0,80.8898
25,8121,96.0,81.819
26,9023,96.0,85.2216
27,11199,96.0,77.2501
28,10679,96.0,82.929
29,8817,96.0,71.5309
30,8040,96.0,75.9596
31,10752,96.0,84.4946
32,11136,96.0,90.1714
33,9088,96.0,53.2816
34,10874,96.0,76.75
35,9790,96.0,57.4983
36,9792,96.0,78.4149
37,11071,96.0,80.8609
38,8315,96.0,82.8193
39,10622,96.0,74.336
40,9660,96.0,66.3674
41,8446,96.0,81.5367
42,9722,96.0,96.3642
43,8242,96.0,46.7851
44,9580,96.0,76.9223
45,10683,96.0,86.202
46,10112,96.0,64.4943
47,10429,96.0,77.3366
48,9088,96.0,71.7058
49,10231,96.0,75.8386
50,9216,96.0,49.2326
51,9856,96.0,78.8839
52,9536,96.0,85.6413
53,9787,96.0,69.4914
54,12668,96.0,138.5542
55,9918,96.0,75.973
56,10010,96.0,63.8531
57,11704,96.0,105.8687
58,10432,96.0,105.5935
59,7869,96.0,50.0812
60,8693,96.0,51.6068
61,10170,96.0,87.525
62,10748,96.0,54.7858
63,8762,96.0,56.8376
64,8506,96.0,63.0649
65,9528,96.0,59.649
66,9723,96.0,60.9063
67,10366,96.0,100.9817
68,11129,96.0,64.111
69,10495,96.0,74.5244
70,10677,96.0,72.2818
71,9845,96.0,71.3075
72,8891,96.0,52.3408
73,11003,96.0,85.0739
74,9664,96.0,44.0007
75,8894,96.0,55.7765
76,9781,96.0,55.7183
77,12222,96.0,62.3028
78,9279,96.0,58.7343
79,10678,96.0,77.2877
80,10812,96.0,63.5196
81,11836,96.0,83.481
82,12989,96.0,70.6039
83,9727,96.0,114.9949
84,9912,96.0,62.5066
85,9852,96.0,76.9094
86,8316,96.0,79.9942
87,9344,96.0,70.135
88,8191,96.0,61.6872
89,10599,96.0,110.3735
90,9395,96.0,86.3218
91,10557,96.0,54.2349
92,10429,96.0,101.5974
93,9464,96.0,86.7328
94,9918,96.0,87.5186
95,11008,96.0,79.4533
96,9471,96.0,63.6091
97,9531,96.0,91.8686
98,9407,96.0,72.8738
99,8951,96.0,85.4084
100,8314,96.0,76.5117
